path,dir,name,size,dword0,container_class,is_pol_dup,dup_identical,table_entry_count,model_count,tex_ref_count,tex_max_id,tex_referenced_bytes,tex_file_bytes,tex_delta_bytes,note
pol/komono_title.bin,pol,komono_title.bin,1773,0x00000E80,compressed,,,,,,,,,,
pol/komono_tokeidai.bin,pol,komono_tokeidai.bin,9531,0x000082C0,compressed,,,,,,,,,,
pol/komono_uemiti.bin,pol,komono_uemiti.bin,3574,0x00002720,compressed,,,,,,,,,,
pol/komono_unga.bin,pol,komono_unga.bin,7005,0x00003F40,compressed,,,,,,,,,,
pol/komono_venis.bin,pol,komono_venis.bin,5366,0x00003FA0,compressed,,,,,,,,,,
pol/kyoukai_garasu.bin,pol,kyoukai_garasu.bin,34002,0x0001EE40,compressed,,,,,,,,,,
pol/logan.bin,pol,logan.bin,135830,0x000334E0,compressed,,,,,,,,,,
pol/logan_hod1.bin,pol,logan_hod1.bin,29612,0x0000DDE0,compressed,,,,,,,,,,
pol/mol.bin,pol,mol.bin,11336,0x00006A00,compressed,,,,,,,,,,
pol/mouse.bin,pol,mouse.bin,119985,0x0002ADA0,compressed,,,,,,,,,,
pol/nment.bin,pol,nment.bin,994,0x00003D60,compressed,,,,,,,,,,
pol/owl.bin,pol,owl.bin,80713,0x0001EC00,compressed,,,,,,,,,,
pol/player1.bin,pol,player1.bin,230477,0x00049080,compressed,,,,,,,,,,
pol/player2.bin,pol,player2.bin,240574,0x0004A620,compressed,,,,,,,,,,
pol/player3.bin,pol,player3.bin,205857,0x000423A0,compressed,,,,,,,,,,
pol/player4.bin,pol,player4.bin,132846,0x0002D200,compressed,,,,,,,,,,
pol/player_gold.bin,pol,player_gold.bin,115926,0x00027460,compressed,,,,,,,,,,
pol/pol_b6boss1z.bin,pol,pol_b6boss1z.bin,30021,0x000092A0,compressed,1,1,,,,,,,,
pol/pol_b6boss1z_wing.bin,pol,pol_b6boss1z_wing.bin,2442,0x00000E60,compressed,1,1,,,,,,,,
pol/pol_b6boss2.bin,pol,pol_b6boss2.bin,32008,0x0000A540,compressed,1,1,,,,,,,,
pol/pol_b6boss3.bin,pol,pol_b6boss3.bin,31151,0x0000B440,compressed,1,1,,,,,,,,
pol/pol_b6boss4.bin,pol,pol_b6boss4.bin,32064,0x0000B000,compressed,1,1,,,,,,,,
pol/pol_b6boss5.bin,pol,pol_b6boss5.bin,53481,0x0000FFC0,compressed,1,1,,,,,,,,
pol/pol_bg_adv00.bin,pol,pol_bg_adv00.bin,63515,0x00023C20,compressed,1,1,,,,,,,,
pol/pol_bg_adv01.bin,pol,pol_bg_adv01.bin,67589,0x00027500,compressed,1,1,,,,,,,,
pol/pol_bg_adv02.bin,pol,pol_bg_adv02.bin,36814,0x000169E0,compressed,1,1,,,,,,,,
pol/pol_bg_adv03.bin,pol,pol_bg_adv03.bin,81832,0x0003A800,compressed,1,1,,,,,,,,
pol/pol_bg_adv04.bin,pol,pol_bg_adv04.bin,3896,0x000026E0,compressed,1,1,,,,,,,,
pol/pol_bg_adv05.bin,pol,pol_bg_adv05.bin,15385,0x00009200,compressed,1,1,,,,,,,,
pol/pol_bg_adv06.bin,pol,pol_bg_adv06.bin,6528,0x00004400,compressed,1,1,,,,,,,,
